"index","ALIGN_SPLIT","OPTIMIZE_SPLIT","OPTIMIZE_REPS","CUDA_THREADS","N_RESTART","CLIPPING","SIM_THRESH","BUFFER_SIZE"
1,8,24,2,128,1024,256,4,52428800
2,72,32,1,32,256,30,3,1048576
3,16,72,2,192,1024,256,1,1048576
4,8,48,2,256,256,256,3,1048576
5,24,32,3,64,256,10,4,10485760
6,72,32,1,192,256,30,3,1048576
7,24,72,4,128,1024,256,1,1048576
8,12,8,4,128,256,50,1,1048576
9,20,32,4,32,256,10,3,10485760
10,12,20,2,192,1024,50,3,52428800
11,12,8,3,128,256,50,2,1048576
12,48,8,1,160,256,256,4,1048576
13,8,72,1,64,256,256,4,1048576
14,72,8,1,32,256,256,4,1048576
15,12,32,5,32,256,256,1,10485760
16,8,72,5,160,256,256,1,10485760
17,8,72,1,96,256,10,4,1048576
18,12,20,5,32,1024,256,1,10485760
19,8,8,1,32,256,10,1,2097152
20,24,48,5,160,256,30,4,2097152
21,8,8,1,32,256,256,1,2097152
22,72,72,1,96,256,256,1,2097152
23,8,8,5,160,256,256,4,2097152
24,72,8,1,256,256,256,1,2097152
25,8,8,2,96,1024,256,2,2097152
26,8,8,1,32,256,10,1,5242880
27,16,24,5,160,256,50,4,5242880
28,12,12,2,64,256,256,2,5242880
29,32,48,5,160,256,256,4,5242880
30,72,72,5,32,256,256,1,5242880
31,8,72,5,160,256,256,4,1048576
32,72,8,1,256,256,256,4,1048576
33,8,72,5,224,256,256,4,2097152
34,72,72,5,32,256,50,4,5242880
35,72,8,5,32,256,256,4,2097152
36,8,8,1,256,256,50,4,1048576
37,8,72,1,256,256,10,4,1048576
38,8,8,1,192,256,10,4,1048576
39,8,8,1,192,1024,256,1,5242880
40,8,8,1,32,256,10,1,20971520
41,32,72,1,128,256,50,1,20971520
42,72,8,5,160,256,10,4,20971520
43,8,72,5,64,256,50,4,20971520
44,8,72,1,160,256,50,4,1048576
45,8,8,1,96,256,256,1,2097152
46,32,72,1,160,256,256,1,20971520
47,32,72,1,256,256,256,1,20971520
48,72,8,5,192,256,256,4,20971520
49,8,72,1,64,256,256,1,20971520
50,72,8,1,64,256,256,1,20971520
51,8,72,1,224,256,50,1,20971520
52,8,72,1,192,1024,256,1,20971520
53,72,72,5,32,256,256,1,52428800
54,72,72,5,32,1024,10,4,5242880
55,8,8,1,256,256,10,4,52428800
56,72,72,5,256,1024,10,4,2097152
57,72,8,5,32,1024,10,4,20971520
58,72,72,1,256,1024,10,4,10485760
59,8,8,5,32,256,10,1,52428800
60,8,8,1,256,256,256,4,52428800
61,8,8,1,256,1024,10,4,1048576
62,72,72,5,32,1024,10,1,52428800
63,72,8,1,256,1024,256,1,52428800
64,72,72,5,256,256,10,1,10485760
65,72,72,5,160,256,50,1,52428800
66,72,8,1,32,1024,10,4,1048576
67,72,8,1,256,256,10,1,5242880
68,72,72,5,256,1024,256,4,5242880
69,8,8,1,32,1024,256,1,5242880
70,72,8,1,256,256,256,4,10485760
71,72,72,5,256,256,256,1,52428800
72,8,8,5,256,1024,256,1,10485760
73,8,8,1,256,256,256,1,5242880
74,72,8,1,256,256,10,1,2097152
75,72,72,5,32,256,50,4,2097152
76,8,8,1,128,256,256,4,52428800
77,72,8,5,256,1024,256,4,20971520
78,8,72,1,32,1024,256,1,20971520
79,72,72,5,32,1024,256,1,2097152
80,8,8,5,32,1024,10,1,10485760
81,72,8,1,96,256,256,4,10485760
82,8,8,5,256,1024,10,4,52428800
83,8,8,1,256,1024,256,1,2097152
84,72,72,1,32,256,50,1,10485760
85,8,72,1,256,1024,10,1,20971520
86,72,72,1,32,256,256,4,10485760
87,72,72,1,256,256,256,1,5242880
88,8,8,1,32,256,256,4,52428800
89,8,8,1,256,256,256,1,20971520
90,8,8,1,32,256,50,4,1048576
91,8,8,1,32,256,256,4,1048576
92,8,8,1,160,256,50,4,52428800
93,8,72,1,256,256,50,1,5242880
94,72,8,5,256,1024,256,4,1048576
95,72,8,5,32,256,50,4,10485760
96,8,8,1,128,256,256,1,20971520
97,8,72,1,256,256,50,4,52428800
98,72,8,1,256,256,50,4,52428800
99,8,72,5,256,256,256,4,5242880
100,72,72,1,256,256,50,1,20971520
101,72,8,1,32,256,50,1,20971520
102,72,8,1,128,256,256,1,5242880
103,8,72,1,32,256,50,4,1048576
104,8,72,1,160,256,10,1,5242880
105,8,72,5,32,256,256,4,2097152
106,8,8,5,256,256,256,1,10485760
107,8,72,1,32,256,50,4,52428800
108,72,8,1,32,256,50,4,52428800
109,8,72,5,256,1024,256,4,52428800
110,72,8,1,32,1024,256,1,52428800
111,72,72,1,160,1024,256,4,10485760
112,72,72,1,32,256,10,1,20971520
113,8,8,5,32,256,256,4,20971520
114,8,72,1,192,256,256,4,52428800
115,72,8,1,160,256,256,1,2097152
116,8,72,5,32,256,50,4,10485760
117,72,8,5,256,256,256,4,5242880
118,8,8,1,96,256,50,1,2097152
119,8,72,1,64,256,256,4,52428800
120,8,8,1,256,256,256,4,1048576
121,72,8,1,96,256,10,1,2097152
122,8,8,5,256,256,50,4,2097152
123,8,72,1,256,256,256,4,10485760
124,72,72,1,256,256,50,4,1048576
125,72,72,5,256,1024,10,1,1048576
126,8,8,1,256,256,50,1,20971520
127,8,72,1,256,256,50,1,2097152
128,72,72,1,32,256,10,4,52428800
129,72,8,5,32,1024,256,4,20971520
130,8,8,1,128,256,50,1,20971520
131,8,72,1,96,1024,256,1,5242880
132,72,8,1,96,1024,256,1,5242880
133,72,72,1,32,256,256,4,1048576
134,72,72,5,32,256,256,4,20971520
135,72,8,5,32,256,256,1,10485760
136,8,8,5,256,256,50,1,52428800
