"ALIGN_SPLIT","OPTIMIZE_SPLIT","OPTIMIZE_REPS","CUDA_THREADS","N_RESTART","CLIPPING","SIM_THRESH","BUFFER_SIZE","WORKER_PARS","WORKER_BUCK","WORKER_DS","TIME_TOTAL","THROUG","AVG_RMSD","RMSD_0.75","-RMSD^3*TIME"
8,24,2,128,1024,256,4,52428800,20,4,6,580.133,774.99,1.56,2.03618325,-4897.54180733459
72,32,1,32,256,30,3,1048576,20,4,6,228.198,1970.22,1.87,2.39155575,-3121.42828571135
16,72,2,192,1024,256,1,1048576,20,4,6,1206.1,372.77,1.54,2.06452875,-10613.1944875397
8,48,2,256,256,256,3,1048576,20,4,6,292.718,1535.95,1.49,1.93944775,-2135.42184371965
24,32,3,64,256,10,4,10485760,20,4,6,198.345,2266.76,2,2.675385,-3798.22003583461
72,32,1,192,256,30,3,1048576,20,4,6,238.652,1883.91,1.87,2.39155575,-3264.42432993096
24,72,4,128,1024,256,1,1048576,20,4,6,1755.998,256.03,1.54,2.0829865,-15870.2359154038
12,8,4,128,256,50,1,1048576,20,4,6,150.604,2985.31,1.88,2.25723725,-1732.08073990359
20,32,4,32,256,10,3,10485760,20,4,6,232.799,1931.28,1.85,2.35611025,-3044.86425845638
12,20,2,192,1024,50,3,52428800,20,4,6,487.705,921.87,1.77,2.3264545,-6141.02545479012
12,8,3,128,256,50,2,1048576,20,4,6,131.38,3422.14,1.91,2.2858815,-1569.24370817179
48,8,1,160,256,256,4,1048576,20,4,6,205.824,2184.39,1.73,2.251652,-2349.63186520889
8,72,1,64,256,256,4,1048576,20,4,6,270.49,1662.17,1.52,1.96555925,-2054.04348326657
72,8,1,32,256,256,4,1048576,20,4,6,278.278,1615.65,1.6,2.15311,-2777.65003971937
12,32,5,32,256,256,1,10485760,20,4,6,388.713,1156.63,1.5,1.84269475,-2432.14386642389
8,72,5,160,256,256,1,10485760,20,4,6,625.047,719.3,1.49,1.96179825,-4719.27954537924
8,72,1,96,256,10,4,1048576,20,4,6,133.808,3360.04,2.04,2.70508175,-2648.6420074099
12,20,5,32,1024,256,1,10485760,20,4,6,929.33,483.79,1.6,2.06972575,-8239.64243488313
8,8,1,32,256,10,1,2097152,20,4,6,79.659,5644.07,2.31,3.2368365,-2701.45127308003
24,48,5,160,256,30,4,2097152,20,4,6,401.946,1118.56,1.78,2.25479075,-4607.72386666056
8,8,1,32,256,256,1,2097152,20,4,6,139.195,3230,1.58,2.24434975,-1573.60325326497
72,72,1,96,256,256,1,2097152,20,4,6,387.859,1159.18,1.57,2.07924225,-3486.49580998402
8,8,5,160,256,256,4,2097152,20,4,6,256.582,1752.27,1.54,2.011685,-2088.84453845111
72,8,1,256,256,256,1,2097152,20,4,6,293.107,1533.91,1.6,2.15311,-2925.66667214809
8,8,2,96,1024,256,2,2097152,20,4,6,430.476,1044.42,1.7,2.294144,-5197.69709820461
8,8,1,32,256,10,1,5242880,20,4,6,80.312,5598.17,2.31,3.2368365,-2723.5962621123
16,24,5,160,256,50,4,5242880,20,4,6,267.737,1679.26,1.75,2.34164825,-3437.74269151598
12,12,2,64,256,256,2,5242880,20,4,6,203.702,2207.15,1.58,1.9756815,-1570.89114864709
32,48,5,160,256,256,4,5242880,20,4,6,518.776,866.65,1.46,1.903675,-3578.97196068895
72,72,5,32,256,256,1,5242880,20,4,6,726.191,619.12,1.53,1.9820815,-5654.7757412983
8,72,5,160,256,256,4,1048576,20,4,6,622.835,721.86,1.49,1.96179825,-4702.57832714385
72,8,1,256,256,256,4,1048576,20,4,6,292.441,1537.4,1.6,2.15311,-2919.01894963156
8,72,5,224,256,256,4,2097152,20,4,6,652.855,688.66,1.49,1.96179825,-4929.23771748135
72,72,5,32,256,50,4,5242880,20,4,6,639.974,702.53,1.71,2.2812245,-7597.4248333625
72,8,5,32,256,256,4,2097152,20,4,6,375.535,1197.22,1.57,1.9799195,-2914.69434642467
8,8,1,256,256,50,4,1048576,20,4,6,87.996,5109.33,1.99,2.4906585,-1359.5822452533
8,72,1,256,256,10,4,1048576,20,4,6,136.279,3299.12,2.04,2.70508175,-2697.55383929073
8,8,1,192,256,10,4,1048576,20,4,6,76.846,5850.67,2.33,3.24027675,-2614.37318420183
8,8,1,192,1024,256,1,5242880,20,4,6,309.302,1453.59,1.76,2.39431625,-4245.48457585685
8,8,1,32,256,10,1,20971520,20,4,6,79.266,5672.05,2.31,3.2368365,-2688.12358442815
32,72,1,128,256,50,1,20971520,20,4,6,173.522,2591.03,1.74,2.150469,-1725.65551531308
72,8,5,160,256,10,4,20971520,20,4,6,290.804,1546.06,2.3,2.97435775,-7652.08853552121
8,72,5,64,256,50,4,20971520,20,4,6,510.473,880.75,1.67,2.1420505,-5017.20553028987
8,72,1,160,256,50,4,1048576,20,4,6,150.813,2981.18,1.69,2.31768875,-1877.60449913242
8,8,1,96,256,256,1,2097152,20,4,6,149.018,3017.09,1.58,2.24434975,-1684.65253489737
32,72,1,160,256,256,1,20971520,20,4,6,259.084,1735.34,1.54,1.92110775,-1836.9433599186
32,72,1,256,256,256,1,20971520,20,4,6,271.192,1657.86,1.54,1.92110775,-1922.79084645538
72,8,5,192,256,256,4,20971520,20,4,6,439.141,1023.81,1.57,1.9799195,-3408.36883375259
8,72,1,64,256,256,1,20971520,20,4,6,270.105,1664.54,1.52,1.96555925,-2051.119875218
