"index","ALIGN","OPT","REPS"
1,8,8,1
2,8,8,2
3,8,8,3
4,8,8,4
5,8,8,5
6,8,12,1
7,8,12,2
8,8,12,3
9,8,12,4
10,8,12,5
11,8,16,1
12,8,16,2
13,8,16,3
14,8,16,4
15,8,16,5
16,8,20,1
17,8,20,2
18,8,20,3
19,8,20,4
20,8,20,5
21,8,24,1
22,8,24,2
23,8,24,3
24,8,24,4
25,8,24,5
26,8,32,1
27,8,32,2
28,8,32,3
29,8,32,4
30,8,32,5
31,8,48,1
32,8,48,2
33,8,48,3
34,8,48,4
35,8,48,5
36,8,72,1
37,8,72,2
38,8,72,3
39,8,72,4
40,8,72,5
41,12,8,1
42,12,8,2
43,12,8,3
44,12,8,4
45,12,8,5
46,12,12,1
47,12,12,2
48,12,12,3
49,12,12,4
50,12,12,5
51,12,16,1
52,12,16,2
53,12,16,3
54,12,16,4
55,12,16,5
56,12,20,1
57,12,20,2
58,12,20,3
59,12,20,4
60,12,20,5
61,12,24,1
62,12,24,2
63,12,24,3
64,12,24,4
65,12,24,5
66,12,32,1
67,12,32,2
68,12,32,3
69,12,32,4
70,12,32,5
71,12,48,1
72,12,48,2
73,12,48,3
74,12,48,4
75,12,48,5
76,12,72,1
77,12,72,2
78,12,72,3
79,12,72,4
80,12,72,5
81,16,8,1
82,16,8,2
83,16,8,3
84,16,8,4
85,16,8,5
86,16,12,1
87,16,12,2
88,16,12,3
89,16,12,4
90,16,12,5
91,16,16,1
92,16,16,2
93,16,16,3
94,16,16,4
95,16,16,5
96,16,20,1
97,16,20,2
98,16,20,3
99,16,20,4
100,16,20,5
101,16,24,1
102,16,24,2
103,16,24,3
104,16,24,4
105,16,24,5
106,16,32,1
107,16,32,2
108,16,32,3
109,16,32,4
110,16,32,5
111,16,48,1
112,16,48,2
113,16,48,3
114,16,48,4
115,16,48,5
116,16,72,1
117,16,72,2
118,16,72,3
119,16,72,4
120,16,72,5
121,20,8,1
122,20,8,2
123,20,8,3
124,20,8,4
125,20,8,5
126,20,12,1
127,20,12,2
128,20,12,3
129,20,12,4
130,20,12,5
131,20,16,1
132,20,16,2
133,20,16,3
134,20,16,4
135,20,16,5
136,20,20,1
137,20,20,2
138,20,20,3
139,20,20,4
140,20,20,5
141,20,24,1
142,20,24,2
143,20,24,3
144,20,24,4
145,20,24,5
146,20,32,1
147,20,32,2
148,20,32,3
149,20,32,4
150,20,32,5
151,20,48,1
152,20,48,2
153,20,48,3
154,20,48,4
155,20,48,5
156,20,72,1
157,20,72,2
158,20,72,3
159,20,72,4
160,20,72,5
161,24,8,1
162,24,8,2
163,24,8,3
164,24,8,4
165,24,8,5
166,24,12,1
167,24,12,2
168,24,12,3
169,24,12,4
170,24,12,5
171,24,16,1
172,24,16,2
173,24,16,3
174,24,16,4
175,24,16,5
176,24,20,1
177,24,20,2
178,24,20,3
179,24,20,4
180,24,20,5
181,24,24,1
182,24,24,2
183,24,24,3
184,24,24,4
185,24,24,5
186,24,32,1
187,24,32,2
188,24,32,3
189,24,32,4
190,24,32,5
191,24,48,1
192,24,48,2
193,24,48,3
194,24,48,4
195,24,48,5
196,24,72,1
197,24,72,2
198,24,72,3
199,24,72,4
200,24,72,5
201,32,8,1
202,32,8,2
203,32,8,3
204,32,8,4
205,32,8,5
206,32,12,1
207,32,12,2
208,32,12,3
209,32,12,4
210,32,12,5
211,32,16,1
212,32,16,2
213,32,16,3
214,32,16,4
215,32,16,5
216,32,20,1
217,32,20,2
218,32,20,3
219,32,20,4
220,32,20,5
221,32,24,1
222,32,24,2
223,32,24,3
224,32,24,4
225,32,24,5
226,32,32,1
227,32,32,2
228,32,32,3
229,32,32,4
230,32,32,5
231,32,48,1
232,32,48,2
233,32,48,3
234,32,48,4
235,32,48,5
236,32,72,1
237,32,72,2
238,32,72,3
239,32,72,4
240,32,72,5
241,48,8,1
242,48,8,2
243,48,8,3
244,48,8,4
245,48,8,5
246,48,12,1
247,48,12,2
248,48,12,3
249,48,12,4
250,48,12,5
251,48,16,1
252,48,16,2
253,48,16,3
254,48,16,4
255,48,16,5
256,48,20,1
257,48,20,2
258,48,20,3
259,48,20,4
260,48,20,5
261,48,24,1
262,48,24,2
263,48,24,3
264,48,24,4
265,48,24,5
266,48,32,1
267,48,32,2
268,48,32,3
269,48,32,4
270,48,32,5
271,48,48,1
272,48,48,2
273,48,48,3
274,48,48,4
275,48,48,5
276,48,72,1
277,48,72,2
278,48,72,3
279,48,72,4
280,48,72,5
281,72,8,1
282,72,8,2
283,72,8,3
284,72,8,4
285,72,8,5
286,72,12,1
287,72,12,2
288,72,12,3
289,72,12,4
290,72,12,5
291,72,16,1
292,72,16,2
293,72,16,3
294,72,16,4
295,72,16,5
296,72,20,1
297,72,20,2
298,72,20,3
299,72,20,4
300,72,20,5
301,72,24,1
302,72,24,2
303,72,24,3
304,72,24,4
305,72,24,5
306,72,32,1
307,72,32,2
308,72,32,3
309,72,32,4
310,72,32,5
311,72,48,1
312,72,48,2
313,72,48,3
314,72,48,4
315,72,48,5
316,72,72,1
317,72,72,2
318,72,72,3
319,72,72,4
