ALIGN,OPT,REPS,RMSD_0.75,TIME_PARTIAL,TIME_TOTAL
8,8,1,2.192459,1000.287,3187.287
8,8,2,1.976457,1412.984,3599.984
8,8,3,2.030586,1730.408,3917.408
8,8,4,1.963967,2036.088,4223.088
8,8,5,1.963967,2419.361,4606.361
8,12,1,2.141756,1090.627,3277.627
8,12,2,2.004073,1534.203,3721.203
8,12,3,1.918026,1968.19,4155.19
8,12,4,1.902919,2313.166,4500.166
8,12,5,1.943723,2748.283,4935.283
8,16,1,2.233924,1189.02,3376.02
8,16,2,1.988405,1716.034,3903.034
8,16,3,1.961861,2149.826,4336.826
8,16,4,1.934216,2589.132,4776.132
8,16,5,1.934216,3037.986,5224.986
8,20,1,2.12964,1261.578,3448.578
8,20,2,2.065819,1834.646,4021.646
8,20,3,1.918935,2378.999,4565.999
8,20,4,1.918935,2926.999,5113.999
8,20,5,1.918935,3453.42,5640.42
8,24,1,2.174849,1337.116,3524.116
8,24,2,2.002713,1985.05,4172.05
8,24,3,1.921842,2575.701,4762.701
8,24,4,1.930344,3149.55,5336.55
8,24,5,1.930344,3698.069,5885.069
8,32,1,2.159571,1513.708,3700.708
8,32,2,1.968082,2291.954,4478.954
8,32,3,1.863902,3010.835,5197.835
8,32,4,1.853217,3697.256,5884.256
8,32,5,1.855231,4384.785,6571.785
8,48,1,2.234406,1866.772,4053.772
8,48,2,1.957293,2901.685,5088.685
8,48,3,1.895688,3866.515,6053.515
8,48,4,1.904381,4876.393,7063.393
8,48,5,1.895688,5801.73,7988.73
8,72,1,2.264241,2338.556,4525.556
8,72,2,1.932965,3790.739,5977.739
8,72,3,1.93477,5143.827,7330.827
8,72,4,1.935276,6594.603,8781.603
8,72,5,1.935276,7891.262,10078.262
12,8,1,2.236178,1028.911,3215.911
12,8,2,2.008804,1416.435,3603.435
12,8,3,1.977824,1746.408,3933.408
12,8,4,1.974526,2085.103,4272.103
12,8,5,1.947164,2397.273,4584.273
12,12,1,2.239078,1121.608,3308.608
12,12,2,1.986668,1560.285,3747.285
12,12,3,1.950702,1973.586,4160.586
12,12,4,1.944777,2362.796,4549.796
12,12,5,1.963442,2761.063,4948.063
12,16,1,2.175574,1201.958,3388.958
12,16,2,1.981163,1740.679,3927.679
12,16,3,1.934686,2204.717,4391.717
12,16,4,1.954078,2668.206,4855.206
12,16,5,1.921936,3068.054,5255.054
12,20,1,2.092897,1284.982,3471.982
12,20,2,1.999103,1895.422,4082.422
12,20,3,1.932949,2385.385,4572.385
12,20,4,1.894219,2957.074,5144.074
12,20,5,1.913379,3463.173,5650.173
12,24,1,2.165478,1365.131,3552.131
12,24,2,1.925206,2011.895,4198.895
12,24,3,1.889082,2635.209,4822.209
12,24,4,1.921187,3169.977,5356.977
12,24,5,1.939285,3735.698,5922.698
12,32,1,2.165567,1535.87,3722.87
12,32,2,2.041043,2296.449,4483.449
12,32,3,1.931122,3030.683,5217.683
12,32,4,1.969884,3760.198,5947.198
12,32,5,1.96916,4414.634,6601.634
12,48,1,2.153733,1870.575,4057.575
12,48,2,2.02524,2925.227,5112.227
12,48,3,1.945345,3903.251,6090.251
12,48,4,1.916543,4857.153,7044.153
12,48,5,1.916543,5777.772,7964.772
12,72,1,2.261613,2382.858,4569.858
12,72,2,2.020454,3834.589,6021.589
12,72,3,1.99343,5242.073,7429.073
12,72,4,1.992047,6455.476,8642.476
12,72,5,1.987244,7858.391,10045.391
16,8,1,2.097156,1075.865,3262.865
16,8,2,1.963967,1450.679,3637.679
16,8,3,1.941932,1806.938,3993.938
16,8,4,1.945186,2114.516,4301.516
16,8,5,1.945186,2445.136,4632.136
16,12,1,2.160094,1161.025,3348.025
16,12,2,1.990617,1607.303,3794.303
16,12,3,1.939351,2001.003,4188.003
16,12,4,1.873118,2377.052,4564.052
16,12,5,1.879202,2795.364,4982.364
16,16,1,2.153173,1262.617,3449.617
16,16,2,1.985047,1758.118,3945.118
16,16,3,1.972178,2230.888,4417.888
16,16,4,1.940712,2674.535,4861.535
16,16,5,1.985047,3255.618,5442.618
16,20,1,2.168956,1335.956,3522.956
16,20,2,1.967689,1894.485,4081.485
16,20,3,1.924986,2440.396,4627.396
16,20,4,1.879329,2941.929,5128.929
16,20,5,1.932985,3483.182,5670.182
16,24,1,2.168437,1412.47,3599.47
16,24,2,2.013884,2055.689,4242.689
16,24,3,1.980565,2689.1,4876.1
16,24,4,1.991072,3246.545,5433.545
16,24,5,1.981136,3794.687,5981.687
16,32,1,2.212338,1572.702,3759.702
16,32,2,2.011647,2350.135,4537.135
16,32,3,2.005317,3070.674,5257.674
16,32,4,1.907024,3769.249,5956.249
16,32,5,1.932086,4485.815,6672.815
16,48,1,2.160589,1907.098,4094.098
16,48,2,2.014331,2953.753,5140.753
16,48,3,1.972178,3998.442,6185.442
16,48,4,2.014331,4907.742,7094.742
16,48,5,2.014331,5847.504,8034.504
16,72,1,2.262756,2392.887,4579.887
16,72,2,1.980652,3866.136,6053.136
16,72,3,1.975253,5253.17,7440.17
16,72,4,1.959848,6582.235,8769.235
16,72,5,1.972178,7896.618,10083.618
20,8,1,2.316815,1130.936,3317.936
20,8,2,2.126413,1518.193,3705.193
20,8,3,2.140916,1849.336,4036.336
20,8,4,2.126413,2217.209,4404.209
20,8,5,2.126413,2498.438,4685.438
20,12,1,2.264422,1213.929,3400.929
20,12,2,2.071926,1687.808,3874.808
20,12,3,2.039315,2071.946,4258.946
20,12,4,2.041066,2460.174,4647.174
20,12,5,2.047585,2854.241,5041.241
20,16,1,2.23894,1295.778,3482.778
20,16,2,2.056864,1811.831,3998.831
20,16,3,2.025945,2308.134,4495.134
20,16,4,1.994747,2730.291,4917.291
20,16,5,2.007614,3183.33,5370.33
20,20,1,2.197002,1405.744,3592.744
20,20,2,1.989552,1960.347,4147.347
20,20,3,1.946875,2506.235,4693.235
20,20,4,1.946486,3007.462,5194.462
