"index","confidence","hypo_step","max_arm_length","num_threads"
1,14,1,1,1
2,14,1,1,2
3,14,1,1,3
4,14,1,1,4
5,14,1,1,5
6,14,1,1,6
7,14,1,1,7
8,14,1,1,8
9,14,1,1,9
10,14,1,1,10
11,14,1,1,11
12,14,1,1,12
13,14,1,1,13
14,14,1,1,14
15,14,1,1,15
16,14,1,1,16
17,14,1,1,17
18,14,1,1,18
19,14,1,1,19
20,14,1,1,20
21,14,1,1,21
22,14,1,1,22
23,14,1,1,23
24,14,1,1,24
25,14,1,1,25
26,14,1,1,26
27,14,1,1,27
28,14,1,1,28
29,14,1,1,29
30,14,1,1,30
31,14,1,1,31
32,14,1,1,32
33,14,1,2,1
34,14,1,2,2
35,14,1,2,3
36,14,1,2,4
37,14,1,2,5
38,14,1,2,6
39,14,1,2,7
40,14,1,2,8
41,14,1,2,9
42,14,1,2,10
43,14,1,2,11
44,14,1,2,12
45,14,1,2,13
46,14,1,2,14
47,14,1,2,15
48,14,1,2,16
49,14,1,2,17
50,14,1,2,18
51,14,1,2,19
52,14,1,2,20
53,14,1,2,21
54,14,1,2,22
55,14,1,2,23
56,14,1,2,24
57,14,1,2,25
58,14,1,2,26
59,14,1,2,27
60,14,1,2,28
61,14,1,2,29
62,14,1,2,30
63,14,1,2,31
64,14,1,2,32
65,14,1,3,1
66,14,1,3,2
67,14,1,3,3
68,14,1,3,4
69,14,1,3,5
70,14,1,3,6
71,14,1,3,7
72,14,1,3,8
73,14,1,3,9
74,14,1,3,10
75,14,1,3,11
76,14,1,3,12
77,14,1,3,13
78,14,1,3,14
79,14,1,3,15
80,14,1,3,16
81,14,1,3,17
82,14,1,3,18
83,14,1,3,19
84,14,1,3,20
85,14,1,3,21
86,14,1,3,22
87,14,1,3,23
88,14,1,3,24
89,14,1,3,25
90,14,1,3,26
91,14,1,3,27
92,14,1,3,28
93,14,1,3,29
94,14,1,3,30
95,14,1,3,31
96,14,1,3,32
97,14,1,4,1
98,14,1,4,2
99,14,1,4,3
