"confidence","hypo_step","max_arm_length","num_threads","time","-cost"
64,3,16,32,8573,-274336
64,3,16,32,9110,-291520
44,3,16,32,7172,-229504
34,3,16,32,7038,-225216
24,3,16,32,7566,-242112
14,3,16,32,7038,-225216
64,2,16,32,8015,-256480
54,2,16,32,8193,-262176
44,2,16,32,9638,-308416
34,2,16,32,9342,-298944
24,2,16,32,9786,-313152
14,2,16,32,9261,-296352
64,1,16,32,15784,-505088
54,1,16,32,13231,-423392
44,1,16,32,14195,-454240
34,1,16,32,12873,-411936
24,1,16,32,13500,-432000
14,1,16,32,14115,-451680
64,3,15,32,8731,-279392
54,3,15,32,8792,-281344
44,3,15,32,9279,-296928
34,3,15,32,7858,-251456
24,3,15,32,7950,-254400
14,3,15,32,8688,-278016
64,2,15,32,11434,-365888
54,2,15,32,10241,-327712
44,2,15,32,10719,-343008
34,2,15,32,9476,-303232
24,2,15,32,8504,-272128
14,2,15,32,9612,-307584
64,1,15,32,14538,-465216
54,1,15,32,14309,-457888
44,1,15,32,14742,-471744
34,1,15,32,12521,-400672
24,1,15,32,14402,-460864
14,1,15,32,13111,-419552
64,3,14,32,7486,-239552
54,3,14,32,6550,-209600
44,3,14,32,6745,-215840
34,3,14,32,7733,-247456
24,3,14,32,7843,-250976
14,3,14,32,7679,-245728
64,2,14,32,9568,-306176
54,2,14,32,8866,-283712
44,2,14,32,9986,-319552
34,2,14,32,9284,-297088
24,2,14,32,8947,-286304
14,2,14,32,7922,-253504
64,1,14,32,12965,-414880
54,1,14,32,12626,-404032
44,1,14,32,12932,-413824
34,1,14,32,13411,-429152
24,1,14,32,12184,-389888
14,1,14,32,13575,-434400
64,3,13,32,7219,-231008
54,3,13,32,8817,-282144
44,3,13,32,7333,-234656
34,3,13,32,7007,-224224
24,3,13,32,6922,-221504
14,3,13,32,6434,-205888
64,2,13,32,7917,-253344
54,2,13,32,7690,-246080
44,2,13,32,7929,-253728
34,2,13,32,7970,-255040
24,2,13,32,8346,-267072
14,2,13,32,8640,-276480
64,1,13,32,12494,-399808
54,1,13,32,12166,-389312
44,1,13,32,13003,-416096
34,1,13,32,12592,-402944
24,1,13,32,12692,-406144
14,1,13,32,12772,-408704
64,3,12,32,6494,-207808
54,3,12,32,6834,-218688
44,3,12,32,6892,-220544
34,3,12,32,7143,-228576
24,3,12,32,6385,-204320
14,3,12,32,6019,-192608
64,2,12,32,8289,-265248
54,2,12,32,8687,-277984
44,2,12,32,8323,-266336
34,2,12,32,8639,-276448
24,2,12,32,7959,-254688
14,2,12,32,7734,-247488
64,1,12,32,14136,-452352
54,1,12,32,12981,-415392
44,1,12,32,12743,-407776
34,1,12,32,12359,-395488
24,1,12,32,12190,-390080
14,1,12,32,12852,-411264
64,3,11,32,6598,-211136
54,3,11,32,6824,-218368
44,3,11,32,6187,-197984
34,3,11,32,6022,-192704
24,3,11,32,6596,-211072
14,3,11,32,6571,-210272
64,2,11,32,7843,-250976
54,2,11,32,8228,-263296
44,2,11,32,7744,-247808
34,2,11,32,8610,-275520
34,2,11,32,8840,-282880
14,2,11,32,8216,-262912
64,1,11,32,12531,-400992
54,1,11,32,12665,-405280
44,1,11,32,12232,-391424
34,1,11,32,11960,-382720
24,1,11,32,12567,-402144
14,1,11,32,12675,-405600
64,3,10,32,6476,-207232
54,3,10,32,6970,-223040
44,3,10,32,7156,-228992
34,3,10,32,7455,-238560
24,3,10,32,7008,-224256
14,3,10,32,6482,-207424
64,2,10,32,8311,-265952
54,2,10,32,8593,-274976
44,2,10,32,8361,-267552
34,2,10,32,7974,-255168
24,2,10,32,8973,-287136
14,2,10,32,8665,-277280
64,1,10,32,11688,-374016
54,1,10,32,12644,-404608
44,1,10,32,12170,-389440
34,1,10,32,12178,-389696
24,1,10,32,13348,-427136
14,1,10,32,13631,-436192
64,3,9,32,6102,-195264
54,3,9,32,6842,-218944
44,3,9,32,6734,-215488
34,3,9,32,6603,-211296
24,3,9,32,6313,-202016
14,3,9,32,11683,-373856
64,2,9,32,9143,-292576
54,2,9,32,8645,-276640
44,2,9,32,8901,-284832
34,2,9,32,9146,-292672
24,2,9,32,9684,-309888
14,2,9,32,10035,-321120
64,1,9,32,14301,-457632
54,1,9,32,13442,-430144
44,1,9,32,12944,-414208
34,1,9,32,13549,-433568
24,1,9,32,11829,-378528
14,1,9,32,14018,-448576
64,3,8,32,7228,-231296
54,3,8,32,6918,-221376
44,3,8,32,6509,-208288
34,3,8,32,6026,-192832
24,3,8,32,6515,-208480
14,3,8,32,6712,-214784
64,2,8,32,8109,-259488
54,2,8,32,8862,-283584
44,2,8,32,8160,-261120
34,2,8,32,8374,-267968
24,2,8,32,8783,-281056
14,2,8,32,7217,-230944
64,1,8,32,11297,-361504
54,1,8,32,12449,-398368
44,1,8,32,12496,-399872
34,1,8,32,12155,-388960
24,1,8,32,13181,-421792
14,1,8,32,12790,-409280
64,3,7,32,7384,-236288
54,3,7,32,7683,-245856
44,3,7,32,7681,-245792
34,3,7,32,7197,-230304
24,3,7,32,7286,-233152
14,3,7,32,7373,-235936
64,2,7,32,9097,-291104
54,2,7,32,8868,-283776
44,2,7,32,9648,-308736
34,2,7,32,9335,-298720
24,2,7,32,8370,-267840
14,2,7,32,8673,-277536
64,1,7,32,12608,-403456
54,1,7,32,12505,-400160
44,1,7,32,13016,-416512
34,1,7,32,12223,-391136
24,1,7,32,12668,-405376
14,1,7,32,13875,-444000
64,3,6,32,6518,-208576
54,3,6,32,6673,-213536
44,3,6,32,7874,-251968
34,3,6,32,6852,-219264
24,3,6,32,7002,-224064
14,3,6,32,6899,-220768
64,2,6,32,8241,-263712
54,2,6,32,7964,-254848
44,2,6,32,8410,-269120
34,2,6,32,8218,-262976
24,2,6,32,7537,-241184
14,2,6,32,7810,-249920
64,1,6,32,12500,-400000
54,1,6,32,11759,-376288
44,1,6,32,12112,-387584
34,1,6,32,12011,-384352
24,1,6,32,12750,-408000
14,1,6,32,11836,-378752
64,3,5,32,6923,-221536
54,3,5,32,7468,-238976
54,3,5,32,5901,-188832
34,3,5,32,7210,-230720
24,3,5,32,5831,-186592
14,3,5,32,6863,-219616
64,2,5,32,7252,-232064
54,2,5,32,7435,-237920
44,2,5,32,7733,-247456
34,2,5,32,7336,-234752
24,2,5,32,7622,-243904
14,2,5,32,8564,-274048
64,1,5,32,11958,-382656
54,1,5,32,12163,-389216
44,1,5,32,12513,-400416
34,1,5,32,12236,-391552
24,1,5,32,12076,-386432
14,1,5,32,12758,-408256
64,3,4,32,6707,-214624
54,3,4,32,5924,-189568
44,3,4,32,5885,-188320
34,3,4,32,6850,-219200
24,3,4,32,7529,-240928
14,3,4,32,5424,-173568
64,2,4,32,7691,-246112
54,2,4,32,7871,-251872
44,2,4,32,7160,-229120
34,2,4,32,7266,-232512
24,2,4,32,8262,-264384
14,2,4,32,8062,-257984
64,1,4,32,11293,-361376
54,1,4,32,11387,-364384
44,1,4,32,11385,-364320
34,1,4,32,11205,-358560
24,1,4,32,11381,-364192
14,1,4,32,11181,-357792
64,3,3,32,6020,-192640
54,3,3,32,6217,-198944
44,3,3,32,6380,-204160
34,3,3,32,5784,-185088
24,3,3,32,6375,-204000
14,3,3,32,6796,-217472
64,2,3,32,8400,-268800
54,2,3,32,8496,-271872
44,2,3,32,8333,-266656
34,2,3,32,8616,-275712
24,2,3,32,7879,-252128
14,2,3,32,7996,-255872
64,1,3,32,11590,-370880
54,1,3,32,11577,-370464
44,1,3,32,13132,-420224
34,1,3,32,12220,-391040
24,1,3,32,11464,-366848
14,1,3,32,11588,-370816
64,3,2,32,6318,-202176
54,3,2,32,7385,-236320
44,3,2,32,6585,-210720
34,3,2,32,6170,-197440
24,3,2,32,7507,-240224
14,3,2,32,6204,-198528
64,2,2,32,7446,-238272
54,2,2,32,8051,-257632
44,2,2,32,7353,-235296
34,2,2,32,7397,-236704
24,2,2,32,7435,-237920
14,2,2,32,7786,-249152
64,1,2,32,10872,-347904
54,1,2,32,11288,-361216
44,1,2,32,11819,-378208
34,1,2,32,11762,-376384
24,1,2,32,11399,-364768
14,1,2,32,12001,-384032
64,3,1,32,6938,-222016
54,3,1,32,8082,-258624
44,3,1,32,7539,-241248
34,3,1,32,7273,-232736
24,3,1,32,6446,-206272
14,3,1,32,6619,-211808
64,2,1,32,8222,-263104
54,2,1,32,7651,-244832
44,2,1,32,7873,-251936
34,2,1,32,7065,-226080
24,2,1,32,6465,-206880
14,2,1,32,8806,-281792
64,1,1,32,11459,-366688
54,1,1,32,11564,-370048
44,1,1,32,11024,-352768
34,1,1,32,11132,-356224
24,1,1,32,11727,-375264
14,1,1,32,11048,-353536
64,3,16,31,6839,-212009
54,3,16,31,6874,-213094
44,3,16,31,6942,-215202
34,3,16,31,7306,-226486
24,3,16,31,7331,-227261
14,3,16,31,7105,-220255
64,2,16,31,8728,-270568
54,2,16,31,8422,-261082
44,2,16,31,8625,-267375
34,2,16,31,8433,-261423
24,2,16,31,8369,-259439
14,2,16,31,8558,-265298
14,2,16,31,9020,-279620
54,1,16,31,13191,-408921
44,1,16,31,13272,-411432
34,1,16,31,13358,-414098
24,1,16,31,12888,-399528
14,1,16,31,12922,-400582
64,3,15,31,6784,-210304
54,3,15,31,6696,-207576
44,3,15,31,7032,-217992
34,3,15,31,7295,-226145
24,3,15,31,6983,-216473
14,3,15,31,7037,-218147
64,2,15,31,8727,-270537
54,2,15,31,8521,-264151
44,2,15,31,8658,-268398
34,2,15,31,8559,-265329
24,2,15,31,8829,-273699
14,2,15,31,8391,-260121
64,1,15,31,12859,-398629
54,1,15,31,12878,-399218
44,1,15,31,13033,-404023
34,1,15,31,12967,-401977
24,1,15,31,13267,-411277
14,1,15,31,12874,-399094
64,3,14,31,6645,-205995
54,3,14,31,7421,-230051
44,3,14,31,6959,-215729
34,3,14,31,7189,-222859
24,3,14,31,6910,-214210
14,3,14,31,6451,-199981
64,2,14,31,8328,-258168
54,2,14,31,8747,-271157
44,2,14,31,8369,-259439
34,2,14,31,8089,-250759
24,2,14,31,7878,-244218
14,2,14,31,8051,-249581
64,1,14,31,12620,-391220
54,1,14,31,12818,-397358
44,1,14,31,13281,-411711
34,1,14,31,12730,-394630
24,1,14,31,13067,-405077
14,1,14,31,12515,-387965
64,3,13,31,6857,-212567
54,3,13,31,6924,-214644
44,3,13,31,7662,-237522
34,3,13,31,7362,-228222
24,3,13,31,6512,-201872
14,3,13,31,7735,-239785
64,2,13,31,8675,-268925
54,2,13,31,8711,-270041
44,2,13,31,7930,-245830
34,2,13,31,8018,-248558
24,2,13,31,8044,-249364
14,2,13,31,8255,-255905
64,1,13,31,12998,-402938
54,1,13,31,12891,-399621
44,1,13,31,12349,-382819
34,1,13,31,12309,-381579
24,1,13,31,13063,-404953
14,1,13,31,12893,-399683
64,3,12,31,7277,-225587
54,3,12,31,6719,-208289
44,3,12,31,6636,-205716
34,3,12,31,6569,-203639
24,3,12,31,6437,-199547
14,3,12,31,6440,-199640
64,2,12,31,8183,-253673
54,2,12,31,8223,-254913
44,2,12,31,8407,-260617
34,2,12,31,8335,-258385
24,2,12,31,8712,-270072
14,2,12,31,8456,-262136
64,1,12,31,13035,-404085
54,1,12,31,13087,-405697
44,1,12,31,13105,-406255
34,1,12,31,12783,-396273
24,1,12,31,13070,-405170
14,1,12,31,13728,-425568
64,3,11,31,7285,-225835
54,3,11,31,7728,-239568
44,3,11,31,6580,-203980
34,3,11,31,6976,-216256
24,3,11,31,6455,-200105
14,3,11,31,7010,-217310
64,2,11,31,8362,-259222
54,2,11,31,8759,-271529
44,2,11,31,8655,-268305
34,2,11,31,8343,-258633
24,2,11,31,8581,-266011
14,2,11,31,7989,-247659
64,1,11,31,12819,-397389
54,1,11,31,12457,-386167
44,1,11,31,13258,-410998
34,1,11,31,12971,-402101
24,1,11,31,12673,-392863
14,1,11,31,12706,-393886
64,3,10,31,7010,-217310
54,3,10,31,6690,-207390
44,3,10,31,6332,-196292
34,3,10,31,6883,-213373
34,3,10,31,7113,-220503
14,3,10,31,7264,-225184
64,2,10,31,8849,-274319
54,2,10,31,8323,-258013
44,2,10,31,8390,-260090
34,2,10,31,7885,-244435
24,2,10,31,8664,-268584
14,2,10,31,9308,-288548
64,1,10,31,13005,-403155
54,1,10,31,12116,-375596
44,1,10,31,12575,-389825
34,1,10,31,12379,-383749
24,1,10,31,12824,-397544
14,1,10,31,12479,-386849
64,3,9,31,6680,-207080
54,3,9,31,6654,-206274
44,3,9,31,6162,-191022
34,3,9,31,6260,-194060
24,3,9,31,6280,-194680
14,3,9,31,6926,-214706
64,2,9,31,7639,-236809
54,2,9,31,7957,-246667
44,2,9,31,7920,-245520
34,2,9,31,8568,-265608
24,2,9,31,7746,-240126
14,2,9,31,8191,-253921
64,1,9,31,12230,-379130
54,1,9,31,12180,-377580
44,1,9,31,12786,-396366
34,1,9,31,12889,-399559
24,1,9,31,12926,-400706
14,1,9,31,12816,-397296
64,3,8,31,6089,-188759
54,3,8,31,6177,-191487
44,3,8,31,6196,-192076
34,3,8,31,6739,-208909
24,3,8,31,7193,-222983
14,3,8,31,6541,-202771
64,2,8,31,7728,-239568
54,2,8,31,8061,-249891
44,2,8,31,7832,-242792
34,2,8,31,8184,-253704
24,2,8,31,7221,-223851
14,2,8,31,8051,-249581
64,1,8,31,12546,-388926
54,1,8,31,12009,-372279
44,1,8,31,11752,-364312
34,1,8,31,12111,-375441
24,1,8,31,12705,-393855
14,1,8,31,12657,-392367
64,3,7,31,5974,-185194
54,3,7,31,6611,-204941
44,3,7,31,6100,-189100
34,3,7,31,6508,-201748
24,3,7,31,6443,-199733
14,3,7,31,5859,-181629
64,2,7,31,7269,-225339
54,2,7,31,8396,-260276
44,2,7,31,8778,-272118
34,2,7,31,7810,-242110
24,2,7,31,9031,-279961
14,2,7,31,7495,-232345
64,1,7,31,11467,-355477
54,1,7,31,11306,-350486
44,1,7,31,11829,-366699
34,1,7,31,12146,-376526
24,1,7,31,11934,-369954
14,1,7,31,11648,-361088
64,3,6,31,5401,-167431
54,3,6,31,5681,-176111
44,3,6,31,5695,-176545
34,3,6,31,6736,-208816
24,3,6,31,5750,-178250
14,3,6,31,6368,-197408
64,2,6,31,6873,-213063
54,2,6,31,6943,-215233
44,2,6,31,7863,-243753
34,2,6,31,6727,-208537
24,2,6,31,7130,-221030
14,2,6,31,7142,-221402
64,1,6,31,11005,-341155
54,1,6,31,12124,-375844
44,1,6,31,11614,-360034
34,1,6,31,11732,-363692
24,1,6,31,12135,-376185
14,1,6,31,12117,-375627
64,3,5,31,5539,-171709
54,3,5,31,5552,-172112
44,3,5,31,5717,-177227
34,3,5,31,5683,-176173
24,3,5,31,5573,-172763
14,3,5,31,5913,-183303
64,2,5,31,7145,-221495
54,2,5,31,7555,-234205
44,2,5,31,6984,-216504
34,2,5,31,6964,-215884
24,2,5,31,7180,-222580
14,2,5,31,7016,-217496
64,1,5,31,11270,-349370
54,1,5,31,11385,-352935
54,1,5,31,12034,-373054
34,1,5,31,11472,-355632
24,1,5,31,11919,-369489
14,1,5,31,11631,-360561
64,3,4,31,5830,-180730
54,3,4,31,5273,-163463
44,3,4,31,5429,-168299
34,3,4,31,5237,-162347
24,3,4,31,6990,-216690
14,3,4,31,6559,-203329
64,2,4,31,6647,-206057
54,2,4,31,7594,-235414
44,2,4,31,6676,-206956
34,2,4,31,7130,-221030
24,2,4,31,7311,-226641
14,2,4,31,7008,-217248
64,1,4,31,10351,-320881
54,1,4,31,10485,-325035
44,1,4,31,10487,-325097
34,1,4,31,10859,-336629
24,1,4,31,11512,-356872
14,1,4,31,11309,-350579
64,3,3,31,5565,-172515
54,3,3,31,5957,-184667
44,3,3,31,5739,-177909
34,3,3,31,6500,-201500
24,3,3,31,6314,-195734
14,3,3,31,5965,-184915
64,2,3,31,6925,-214675
54,2,3,31,6648,-206088
44,2,3,31,7264,-225184
34,2,3,31,6663,-206553
24,2,3,31,7005,-217155
14,2,3,31,6785,-210335
64,1,3,31,10839,-336009
54,1,3,31,11632,-360592
44,1,3,31,10583,-328073
34,1,3,31,10774,-333994
24,1,3,31,10449,-323919
14,1,3,31,11178,-346518
64,3,2,31,5665,-175615
54,3,2,31,7505,-232655
44,3,2,31,5943,-184233
34,3,2,31,5725,-177475
24,3,2,31,5870,-181970
14,3,2,31,6724,-208444
64,2,2,31,8262,-256122
54,2,2,31,6606,-204786
44,2,2,31,7186,-222766
34,2,2,31,6986,-216566
24,2,2,31,6930,-214830
14,2,2,31,7931,-245861
64,1,2,31,10837,-335947
54,1,2,31,11791,-365521
44,1,2,31,11548,-357988
34,1,2,31,11664,-361584
24,1,2,31,11626,-360406
14,1,2,31,11132,-345092
64,3,1,31,5213,-161603
54,3,1,31,5834,-180854
44,3,1,31,6045,-187395
34,3,1,31,5554,-172174
24,3,1,31,6304,-195424
14,3,1,31,5116,-158596
64,2,1,31,7141,-221371
54,2,1,31,6768,-209808
44,2,1,31,7463,-231353
34,2,1,31,7385,-228935
24,2,1,31,6763,-209653
14,2,1,31,6459,-200229
64,1,1,31,10723,-332413
54,1,1,31,10254,-317874
44,1,1,31,10319,-319889
34,1,1,31,10204,-316324
24,1,1,31,10967,-339977
14,1,1,31,10881,-337311
64,3,16,30,7641,-229230
54,3,16,30,7329,-219870
44,3,16,30,6886,-206580
34,3,16,30,6695,-200850
24,3,16,30,7539,-226170
14,3,16,30,7398,-221940
64,2,16,30,8862,-265860
54,2,16,30,9625,-288750
44,2,16,30,8453,-253590
34,2,16,30,9009,-270270
24,2,16,30,8504,-255120
14,2,16,30,8354,-250620
64,1,16,30,13107,-393210
54,1,16,30,13207,-396210
44,1,16,30,13906,-417180
34,1,16,30,13416,-402480
24,1,16,30,13317,-399510
14,1,16,30,13556,-406680
64,3,15,30,6974,-209220
54,3,15,30,7030,-210900
44,3,15,30,7075,-212250
34,3,15,30,7258,-217740
24,3,15,30,7371,-221130
14,3,15,30,6766,-202980
14,3,15,30,7366,-220980
54,2,15,30,8902,-267060
44,2,15,30,8516,-255480
34,2,15,30,8696,-260880
24,2,15,30,8385,-251550
14,2,15,30,7972,-239160
64,1,15,30,13078,-392340
54,1,15,30,13532,-405960
44,1,15,30,13257,-397710
34,1,15,30,13580,-407400
24,1,15,30,13134,-394020
14,1,15,30,13246,-397380
64,3,14,30,6912,-207360
54,3,14,30,6450,-193500
44,3,14,30,6847,-205410
34,3,14,30,6944,-208320
24,3,14,30,6913,-207390
14,3,14,30,7093,-212790
64,2,14,30,8290,-248700
54,2,14,30,8510,-255300
44,2,14,30,8151,-244530
34,2,14,30,8511,-255330
24,2,14,30,8117,-243510
14,2,14,30,8293,-248790
64,1,14,30,13239,-397170
54,1,14,30,13480,-404400
44,1,14,30,13216,-396480
34,1,14,30,12983,-389490
24,1,14,30,13293,-398790
14,1,14,30,13310,-399300
64,3,13,30,7761,-232830
54,3,13,30,9403,-282090
44,3,13,30,7615,-228450
34,3,13,30,7635,-229050
24,3,13,30,7867,-236010
14,3,13,30,6603,-198090
64,2,13,30,8024,-240720
54,2,13,30,8141,-244230
44,2,13,30,8015,-240450
34,2,13,30,8074,-242220
24,2,13,30,8917,-267510
14,2,13,30,8453,-253590
64,1,13,30,12807,-384210
54,1,13,30,12899,-386970
44,1,13,30,13031,-390930
34,1,13,30,12800,-384000
24,1,13,30,13071,-392130
14,1,13,30,12622,-378660
64,3,12,30,7161,-214830
54,3,12,30,6862,-205860
44,3,12,30,7264,-217920
34,3,12,30,7912,-237360
24,3,12,30,7362,-220860
14,3,12,30,7703,-231090
64,2,12,30,9384,-281520
54,2,12,30,7921,-237630
44,2,12,30,8248,-247440
34,2,12,30,7975,-239250
24,2,12,30,8311,-249330
14,2,12,30,8321,-249630
64,1,12,30,13130,-393900
54,1,12,30,12867,-386010
44,1,12,30,13119,-393570
34,1,12,30,13020,-390600
24,1,12,30,13352,-400560
14,1,12,30,13101,-393030
64,3,11,30,7203,-216090
54,3,11,30,6661,-199830
44,3,11,30,6678,-200340
34,3,11,30,7013,-210390
24,3,11,30,7887,-236610
14,3,11,30,6265,-187950
64,2,11,30,8020,-240600
54,2,11,30,7984,-239520
44,2,11,30,8525,-255750
34,2,11,30,9159,-274770
24,2,11,30,8875,-266250
14,2,11,30,8635,-259050
64,1,11,30,12673,-380190
54,1,11,30,12878,-386340
44,1,11,30,12155,-364650
34,1,11,30,12231,-366930
24,1,11,30,12917,-387510
14,1,11,30,12576,-377280
64,3,10,30,7768,-233040
54,3,10,30,9638,-289140
44,3,10,30,6731,-201930
34,3,10,30,6679,-200370
24,3,10,30,7506,-225180
14,3,10,30,6260,-187800
64,2,10,30,7845,-235350
54,2,10,30,8098,-242940
44,2,10,30,8263,-247890
34,2,10,30,8192,-245760
24,2,10,30,8231,-246930
14,2,10,30,8584,-257520
64,1,10,30,12414,-372420
54,1,10,30,12506,-375180
44,1,10,30,12742,-382260
34,1,10,30,12920,-387600
34,1,10,30,12613,-378390
14,1,10,30,13247,-397410
64,3,9,30,6519,-195570
54,3,9,30,6532,-195960
44,3,9,30,6592,-197760
34,3,9,30,6144,-184320
24,3,9,30,7001,-210030
14,3,9,30,7759,-232770
64,2,9,30,7810,-234300
54,2,9,30,8662,-259860
44,2,9,30,8200,-246000
34,2,9,30,8382,-251460
24,2,9,30,7721,-231630
14,2,9,30,8197,-245910
64,1,9,30,12597,-377910
54,1,9,30,12177,-365310
44,1,9,30,12068,-362040
34,1,9,30,12762,-382860
24,1,9,30,12706,-381180
14,1,9,30,12729,-381870
64,3,8,30,7925,-237750
54,3,8,30,6650,-199500
44,3,8,30,6588,-197640
34,3,8,30,6255,-187650
24,3,8,30,7344,-220320
14,3,8,30,6766,-202980
64,2,8,30,8366,-250980
54,2,8,30,8006,-240180
44,2,8,30,9483,-284490
34,2,8,30,8499,-254970
24,2,8,30,8867,-266010
14,2,8,30,8162,-244860
64,1,8,30,11826,-354780
54,1,8,30,11931,-357930
44,1,8,30,12918,-387540
34,1,8,30,12665,-379950
24,1,8,30,12274,-368220
14,1,8,30,12160,-364800
64,3,7,30,6457,-193710
54,3,7,30,7220,-216600
44,3,7,30,5732,-171960
34,3,7,30,6834,-205020
24,3,7,30,6829,-204870
14,3,7,30,6015,-180450
64,2,7,30,7845,-235350
54,2,7,30,7318,-219540
44,2,7,30,7542,-226260
34,2,7,30,7584,-227520
24,2,7,30,7921,-237630
14,2,7,30,7447,-223410
64,1,7,30,12320,-369600
54,1,7,30,12166,-364980
44,1,7,30,12140,-364200
34,1,7,30,11776,-353280
24,1,7,30,11860,-355800
14,1,7,30,12386,-371580
64,3,6,30,6402,-192060
54,3,6,30,6464,-193920
44,3,6,30,5614,-168420
